location_id,geometry
250,POINT (9.191188701008683 46.43631267669441)
251,POINT (9.237915248352087 46.432527312197024)
252,POINT (9.284667192839732 46.4287203160623)
253,POINT (9.272321511193084 46.39098184528234)
254,POINT (9.225629560805196 46.39477905781412)
255,POINT (9.213370110499392 46.357057978214335)
256,POINT (9.201136819168562 46.31936409607297)
257,POINT (9.247709139542206 46.31558637217685)
258,POINT (9.260002186287954 46.35327052307186)
259,POINT (9.306659572355942 46.349461513334475)
260,POINT (9.29430677029798 46.31178714713761)
261,POINT (9.459341538760622 46.37557661266779)
262,POINT (9.471927189901537 46.41327541139363)
263,POINT (9.518804804072564 46.40935980513584)
264,POINT (9.565707287544516 46.40542238717372)
265,POINT (9.553001660367528 46.367743747673465)
266,POINT (9.506159163915195 46.37167105905372)
267,POINT (9.493540476000659 46.3340093284611)
268,POINT (9.540323104123633 46.330092096644705)
269,POINT (9.527671538355373 46.29246745726403)
270,POINT (9.714810042699206 46.27662164851683)
271,POINT (9.727700584549794 46.31420553988036)
272,POINT (9.680819346116257 46.318209882228004)
273,POINT (9.667988544077362 46.28061572314609)
274,POINT (9.621191568309344 46.284588029981826)
275,POINT (9.574419203700055 46.28853859824622)
276,POINT (9.587130517371687 46.32615313129569)
277,POINT (9.633962627513148 46.32219240294546)
278,POINT (9.646760913534871 46.359823733265465)
279,POINT (9.599868939760256 46.36379464891416)
280,POINT (9.612634551632238 46.401463127852196)
281,POINT (9.659586507448978 46.397481997619295)
282,POINT (9.706563065907025 46.393478967026624)
283,POINT (9.693677492932338 46.355830971320174)
284,POINT (9.740618588993721 46.3518163337746)
285,POINT (9.75356413771832 46.38945400672986)
286,POINT (9.766537312722877 46.42711853508242)
287,POINT (9.719476146732767 46.43115384575755)
288,POINT (9.732416817414496 46.46885558372886)
289,POINT (9.779538196320075 46.46480989497407)
290,POINT (9.79256687113746 46.502528062351566)
291,POINT (9.805623420118891 46.54027301296624)
292,POINT (9.75838125793671 46.54433954128177)
293,POINT (9.745385160271063 46.50658415696165)
294,POINT (9.69822795195046 46.51061815875091)
295,POINT (9.71116359440248 46.548383922134796)
296,POINT (9.663970520134896 46.552406185031614)
297,POINT (9.651095336459555 46.51463009718523)
298,POINT (9.638247668439615 46.47688087572168)
299,POINT (9.685319944804165 46.47287923416959)
300,POINT (9.67243949064004 46.43516717249076)
301,POINT (9.625427434063274 46.43915854466695)
302,POINT (9.578440066420281 46.44312799177563)
303,POINT (9.59120007807016 46.48086053791568)
304,POINT (9.54417726324327 46.48481825038672)
305,POINT (9.531477476927456 46.447075543410385)
306,POINT (9.484539754599162 46.45100122926838)
307,POINT (9.437626988247096 46.45490507914987)
308,POINT (9.450206317393986 46.492667945220475)
309,POINT (9.497179313303922 46.48875404287405)
310,POINT (9.509845946775421 46.526533828598886)
311,POINT (9.462812601399692 46.53045781037729)
312,POINT (9.475445921018505 46.56827465088702)
313,POINT (9.522539736083889 46.56434056263687)
314,POINT (9.56965850086341 46.56038447551202)
315,POINT (9.556904244093543 46.52258790238028)
316,POINT (9.603987403880597 46.51862000183614)
317,POINT (9.61680212555058 46.55640635958467)
318,POINT (9.629644325093105 46.594219587013725)
319,POINT (9.64251408483665 46.632059659780175)
320,POINT (9.59524916926913 46.636058288698685)
321,POINT (9.582440115251043 46.59820794570796)
322,POINT (9.535260762611626 46.60217422098726)
323,POINT (9.488106357315807 46.60611844282184)
324,POINT (9.50079399166954 46.64398916205889)
325,POINT (9.548009108054472 46.64003477945407)
326,POINT (9.56078485442327 46.67792221364564)
327,POINT (9.513508905771669 46.68188678427985)
328,POINT (9.526251181629645 46.719811284970405)
329,POINT (9.573588084045339 46.71583649897413)
330,POINT (9.62094992582877 46.711839495006934)
331,POINT (9.608085745246331 46.673935480018905)
332,POINT (9.655411487426633 46.669926553344794)
333,POINT (9.668336615826902 46.707820242971735)
334,POINT (9.715748062680877 46.70377871287813)
335,POINT (9.763184174826671 46.69971487484293)
336,POINT (9.750137161575894 46.661842001166356)
337,POINT (9.702761989944591 46.66589540367461)
338,POINT (9.689803764075263 46.628038862791634)
339,POINT (9.676873301792401 46.59020911503948)
340,POINT (9.724126954799683 46.58617650002576)
341,POINT (9.737118116098916 46.62399586793229)
342,POINT (9.784457049817945 46.61993064550807)
343,POINT (9.771405193362531 46.5821217123193)
344,POINT (9.818707926526011 46.57804472237343)
345,POINT (9.831820473939727 46.61584316593204)
346,POINT (9.844961146261694 46.65366831880405)
347,POINT (9.79753691089218 46.65776631608521)
348,POINT (9.810644860495762 46.69562869909065)
349,POINT (9.858130027715802 46.69152015595404)
350,POINT (9.871327202849688 46.72939865214868)
351,POINT (9.884552756536241 46.767303781956294)
352,POINT (9.836945362548567 46.77143350155725)
